variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Distillate fuel oil consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Distillate fuel oil consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Distillate fuel oil consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Distillate fuel oil production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas consumption (billion cubic feet),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas consumption (billion cubic feet),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas consumption (billion cubic meters),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas consumption (billion cubic meters),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas exports (billion cubic feet),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas exports (billion cubic feet),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Dry natural gas exports (billion cubic meters),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Dry natural gas exports (billion cubic meters),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
